,shop_id,address,城市,company_registered_address,abbreviation,name,总计,通过数,拒绝数,接受数,接受金额,longitude,latitude
618,19211731,南京市南京市秦淮区太平南路389号,南京市,南京市秦淮区太平南路389号,江苏,江苏施尔美整形美容医院有限公司,115,78,37,77,1579369.00元,32.02902,118.79133
619,19211732,济南市济南市历下区和平路48-1号,济南市,济南市历下区和平路48-1号,济南丽珍,济南丽珍美容医院,4,4,0,4,105000.00元,36.66082,117.04679
620,19211733,台州市台州市鑫泰广场二层2A01/2A02/2A03/2A05,台州市,台州市鑫泰广场二层2A01/2A02/2A03/2A05,台州京蓉,台州经济开发区京蓉医疗美容门诊部,3,2,1,2,31800.00元,28.6514,121.41684
621,19211734,深圳市深圳市罗湖区东门街道东门中路2002号江南大厦2、3、4楼,深圳市,深圳罗湖区东门街道东门中路2002号江南大厦2、3、4楼,江南春天,深圳江南春天医疗美容医院有限公司,29,9,20,9,163600.00元,22.54614,114.12186
622,19211735,广州市广州市白云区云城南3路398号,广州市,广州市白云区云城南3路398号,广轻伊美,广州轻伊美皮肤专科门诊有限公司,1,1,0,1,13000.00元,23.171431,113.264351
623,19211737,广州市广州市天河区林和东路200号,广州市,广州市天河区林和东路200号,广威利斯,广州市天河区威利斯医疗门诊部,1,0,1,0,0.00元,23.14588,113.3286
624,19211738,株洲市湖南省株洲市天元区嵩山路丽景滨江七栋110/202号,株洲市,湖南省株洲市天元区嵩山路丽景滨江七栋110/202号,株洲致美,株洲致美医疗美容医院有限公司,20,8,12,7,73751.00元,27.83861,113.13446
625,19211739,珠海市珠海市香洲区拱北九洲大道西1666号格力香樟13栋118-220商铺,珠海市,珠海市香洲区拱北九洲大道西1666号格力香樟13栋118-220商铺,珠海科美,珠海科美医疗美容有限公司,77,40,37,38,679168.00元,22.23782,113.54769
626,19211740,佛山市佛山市顺德区大良近良新桂南路10号御名峰公馆7号商铺之一,佛山市,佛山市顺德区大良近良新桂南路10号御名峰公馆7号商铺之一,佛美哒哒,佛山市美哒哒医疗美容门诊部有限公司,14,9,5,9,109787.00元,22.822889,113.271027
627,19211741,佛山市佛山市南海区桂城街道桂澜北路28号南海万达广场南5栋101号铺,佛山市,佛山市南海区桂城街道桂澜北路28号南海万达广场南5栋101号铺,佛凯瑟琳,佛山市凯瑟琳医学美容门诊有限公司,100,65,35,62,1215362.00元,23.06307,113.15729
628,19211742,成都市成都市青羊区二环路西二段217号,成都市,成都市青羊区二环路西二段217号,丝缘医疗,成都青羊丝缘毛发医疗美容门诊部有限公司,60,42,18,42,640517.00元,30.67996,104.02763
629,19211743,东莞市东莞市南城街道鸿福西路天诚康桥华苑商住楼201号,东莞市,东莞市南城街道鸿福西路天诚康桥华苑商住楼201号,东莞韩美,东莞南城健瑞韩美医疗美容门诊部有限公司,58,16,42,16,278654.00元,23.018021,113.737457
630,19211744,佛山市佛山市禅城区汾江中路68号,佛山市,佛山市禅城区汾江中路68号,佛曙光金,佛山曙光金子医学美容医院有限公司,85,25,60,24,386111.00元,23.03304,113.10869
